næring (SN2007),statistikkvariabel,kvartal,value
Alle næringar,Ledige stillingar (stillingar),2010K1,60500.0
Alle næringar,Ledige stillingar (stillingar),2010K2,67900.0
Alle næringar,Ledige stillingar (stillingar),2010K3,63900.0
Alle næringar,Ledige stillingar (stillingar),2010K4,55800.0
Alle næringar,Ledige stillingar (stillingar),2011K1,68900.0
Alle næringar,Ledige stillingar (stillingar),2011K2,78500.0
Alle næringar,Ledige stillingar (stillingar),2011K3,68000.0
Alle næringar,Ledige stillingar (stillingar),2011K4,62200.0
Alle næringar,Ledige stillingar (stillingar),2012K1,69200.0
Alle næringar,Ledige stillingar (stillingar),2012K2,72000.0
Alle næringar,Ledige stillingar (stillingar),2012K3,60900.0
Alle næringar,Ledige stillingar (stillingar),2012K4,57800.0
Alle næringar,Ledige stillingar (stillingar),2013K1,67600.0
Alle næringar,Ledige stillingar (stillingar),2013K2,74300.0
Alle næringar,Ledige stillingar (stillingar),2013K3,59100.0
Alle næringar,Ledige stillingar (stillingar),2013K4,50900.0
Alle næringar,Ledige stillingar (stillingar),2014K1,61800.0
Alle næringar,Ledige stillingar (stillingar),2014K2,64800.0
Alle næringar,Ledige stillingar (stillingar),2014K3,54100.0
Alle næringar,Ledige stillingar (stillingar),2014K4,53700.0
Alle næringar,Ledige stillingar (stillingar),2015K1,60400.0
Alle næringar,Ledige stillingar (stillingar),2015K2,62800.0
Alle næringar,Ledige stillingar (stillingar),2015K3,49500.0
Alle næringar,Ledige stillingar (stillingar),2015K4,45000.0
Alle næringar,Ledige stillingar (stillingar),2016K1,55300.0
Alle næringar,Ledige stillingar (stillingar),2016K2,56200.0
Alle næringar,Ledige stillingar (stillingar),2016K3,52300.0
Alle næringar,Ledige stillingar (stillingar),2016K4,48700.0
Alle næringar,Ledige stillingar (stillingar),2017K1,58300.0
Alle næringar,Ledige stillingar (stillingar),2017K2,65400.0
Alle næringar,Ledige stillingar (stillingar),2017K3,56700.0
Alle næringar,Ledige stillingar (stillingar),2017K4,58000.0
Alle næringar,Ledige stillingar (stillingar),2018K1,68400.0
Alle næringar,Ledige stillingar (stillingar),2018K2,75200.0
Alle næringar,Ledige stillingar (stillingar),2018K3,68400.0
Alle næringar,Ledige stillingar (stillingar),2018K4,59700.0
